Plot Name,Date,latitude,longitude,altitude,Season
SRA-019,3/10/2022,34.702988,-120.04139,356.273411,SPRING
SRA-020,3/10/2022,34.703356,-120.042269,364.578917,SPRING
SRA-021,3/10/2022,34.704989,-120.038267,360.867685,SPRING
SRB-021,3/10/2022,34.703487,-120.041599,359.404366,SPRING
SRB-026,3/11/2022,34.69243,-120.051039,396.871628,SPRING
SRA-033,3/18/2022,34.686577,-120.033854,331.412937,SPRING
SRA-034,3/18/2022,34.686723,-120.03479,323.23683,SPRING
DPB-020,3/24/2022,34.526452,-120.39886,326.01592,SPRING
SRB-047,4/7/2022,34.699452,-120.038033,348.749379,SPRING
DPB-027,4/14/2022,34.537441,-120.457846,368.360914,SPRING
SRA-000,4/25/2022,34.6930707,-120.0338483,342.1,SPRING
SRA-109,5/13/2022,34.705418,-120.037939,361.610418,SPRING
SRB-084,5/13/2022,34.705147,-120.038227,361.243674,SPRING
SRB-010,9/15/2022,34.698974,-120.037258,355.430615,FALL
SRB-045,9/15/2022,34.700047,-120.036858,356.074668,FALL
SRB-046,9/15/2022,34.699735,-120.036926,355.141719,FALL
SRB-100,9/15/2022,34.699524,-120.037953,349.502855,FALL
SRA-007,9/16/2022,34.743045,-119.985092,1377.105067,FALL
SRA-008,9/16/2022,34.742872,-119.984734,1373.756884,FALL
SRA-056,9/16/2022,34.741852,-119.985495,1329.267981,FALL
SRB-004,9/16/2022,34.742342,-119.984095,1357.063747,FALL
SRB-050,9/16/2022,34.74188,-119.986019,1324.633173,FALL
SRB-200,9/16/2022,34.743146,-119.985264,1374.784584,FALL
DPA-004,9/17/2022,34.498493,-120.490811,64.402031,FALL
DPB-003,9/17/2022,34.499321,-120.491978,51.452506,FALL
DPB-004,9/17/2022,34.497157,-120.491243,60.483073,FALL
DPB-005,9/17/2022,34.497202,-120.489964,77.302783,FALL
